FID;Shape *;OBJECTID_1;dpa_provin;dpa_despro;cod_zona;dpa_canton;dpa_descan;cod_distri;des_distri;cod_circ;des_circ;cod_postal;Shape_Leng;Shape_Area;Poblacion
844;Poligono;803;19;ZAMORA CHINCHIPE;7;1902;CHINCHIPE;19D03;CHINCHIPE-PALANDA;19D03C04;CHITO;190304;107.348.806.753;355.749.408.713;1230
845;Poligono;804;19;ZAMORA CHINCHIPE;7;1907;CENTINELA DEL CONDOR;19D02;NANGARITZA-CENTINELA DEL CONDOR-PAQUISHA;19D02C04;ZUMBI;190204;97.000.026.848;261.653.551.384;6507
846;Poligono;805;19;ZAMORA CHINCHIPE;7;1905;YANTZAZA;19D04;YANTZAZA- EL PANGUI;19D04C01;YANTZAZA (YANZATZA)-CHICAâ€žA;190404;115.814.825.653;539.592.306.602;15017
847;Poligono;806;19;ZAMORA CHINCHIPE;7;1904;YACUAMBI;19D01;ZAMORA-YACUAMBI;19D01C07;28 DE MAYO (SAN JOSE DE YACUAMBI);190108;112.925.312.028;484.168.244.306;3153
848;Poligono;807;19;ZAMORA CHINCHIPE;7;1903;NANGARITZA;19D02;NANGARITZA-CENTINELA DEL CONDOR-PAQUISHA;19D02C02;ZURMI;190203;159.362.515.938;915.802.005.528;2004
849;Poligono;808;19;ZAMORA CHINCHIPE;7;1909;PAQUISHA;19D02;NANGARITZA-CENTINELA DEL CONDOR-PAQUISHA;19D02C05;PAQUISHA-BELLAVISTA;190205;92.204.104.486;223.616.505.267;1727
850;Poligono;809;19;ZAMORA CHINCHIPE;7;1902;CHINCHIPE;19D03;CHINCHIPE-PALANDA;19D03C03;ZUMBA;190302;127.810.999.851;426.284.424.142;6878
851;Poligono;825;19;ZAMORA CHINCHIPE;7;1904;YACUAMBI;19D01;ZAMORA-YACUAMBI;19D01C09;TUTUPALI;190109;101.936.068.886;450.114.967.904;639
852;Poligono;826;19;ZAMORA CHINCHIPE;7;1904;YACUAMBI;19D01;ZAMORA-YACUAMBI;19D01C08;LA PAZ;190107;99.715.396.022;320.044.034.164;2043
853;Poligono;827;19;ZAMORA CHINCHIPE;7;1905;YANTZAZA;19D04;YANTZAZA- EL PANGUI;19D04C02;LOS ENCUENTROS;190403;123.869.349.517;476.310.595.667;3660
854;Poligono;828;19;ZAMORA CHINCHIPE;7;1906;EL PANGUI;19D04;YANTZAZA- EL PANGUI;19D04C04;TUNDAYME;190402;89.047.835.634;256.320.708.223;737
855;Poligono;829;18;TUNGURAHUA;3;1802;BAâ€žOS DE AGUA SANTA;18D03;BAâ€žOS DE AGUA SANTA;18D03C01;LLIGUA-BAâ€žOS DE AGUA SANTA-ULBA;180301;61.029.046.473;190.041.064.864;17465
856;Poligono;830;18;TUNGURAHUA;3;1807;SAN PEDRO DE PELILEO;18D04;PATATE-SAN PEDRO DE PELILEO;18D04C05;SALASACA-BENITEZ (PACHANLICA)-EL ROSARIO (RUMICHACA);180404;35.611.701.483;311.148.346.246;10715
